ALV-5000/E-WIN Data
Date :	"22.04.05"
Time :	"11:24:46"
Samplename : 	"124d Lu Es8p2 0.45µm 20mW 633nm 60s +A"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     293.19951
Viscosity [cp]  :	       0.94000
Refractive Index:	       1.42600
Wavelength [nm] :	     633.00000
Angle [°]       :	      55.00000
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      74.53832
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  9.91397E-001
  4.00000E-004	  9.96243E-001
  6.00000E-004	  9.67660E-001
  8.00000E-004	  9.69221E-001
  1.00000E-003	  9.67240E-001
  1.20000E-003	  9.48350E-001
  1.40000E-003	  9.56617E-001
  1.60000E-003	  9.62409E-001
  1.80000E-003	  9.58297E-001
  2.00000E-003	  9.55612E-001
  2.20000E-003	  9.41373E-001
  2.40000E-003	  9.51936E-001
  2.60000E-003	  9.61748E-001
  2.80000E-003	  9.53466E-001
  3.00000E-003	  9.47089E-001
  3.20000E-003	  9.49015E-001
  3.60000E-003	  9.48745E-001
  4.00000E-003	  9.42526E-001
  4.40000E-003	  9.49735E-001
  4.80000E-003	  9.49263E-001
  5.20000E-003	  9.42181E-001
  5.60000E-003	  9.49563E-001
  6.00000E-003	  9.45542E-001
  6.40000E-003	  9.49945E-001
  7.20000E-003	  9.43598E-001
  8.00000E-003	  9.41501E-001
  8.80000E-003	  9.42491E-001
  9.60000E-003	  9.40278E-001
  1.04000E-002	  9.41317E-001
  1.12000E-002	  9.36276E-001
  1.20000E-002	  9.36062E-001
  1.28000E-002	  9.36577E-001
  1.44000E-002	  9.33695E-001
  1.60000E-002	  9.29417E-001
  1.76000E-002	  9.26633E-001
  1.92000E-002	  9.24013E-001
  2.08000E-002	  9.22850E-001
  2.24000E-002	  9.20399E-001
  2.40000E-002	  9.16958E-001
  2.56000E-002	  9.15218E-001
  2.88000E-002	  9.11653E-001
  3.20000E-002	  9.04445E-001
  3.52000E-002	  8.99740E-001
  3.84000E-002	  8.92979E-001
  4.16000E-002	  8.88906E-001
  4.48000E-002	  8.83301E-001
  4.80000E-002	  8.79229E-001
  5.12000E-002	  8.70776E-001
  5.76000E-002	  8.62568E-001
  6.40000E-002	  8.53197E-001
  7.04000E-002	  8.44184E-001
  7.68000E-002	  8.32151E-001
  8.32000E-002	  8.23666E-001
  8.96000E-002	  8.15566E-001
  9.60000E-002	  8.05179E-001
  1.02400E-001	  7.96086E-001
  1.15200E-001	  7.78184E-001
  1.28000E-001	  7.59374E-001
  1.40800E-001	  7.41944E-001
  1.53600E-001	  7.26159E-001
  1.66400E-001	  7.09283E-001
  1.79200E-001	  6.92592E-001
  1.92000E-001	  6.78396E-001
  2.04800E-001	  6.62483E-001
  2.30400E-001	  6.32833E-001
  2.56000E-001	  6.02888E-001
  2.81600E-001	  5.76216E-001
  3.07200E-001	  5.49877E-001
  3.32800E-001	  5.25686E-001
  3.58400E-001	  5.01731E-001
  3.84000E-001	  4.79349E-001
  4.09600E-001	  4.58666E-001
  4.60800E-001	  4.18719E-001
  5.12000E-001	  3.82327E-001
  5.63200E-001	  3.50088E-001
  6.14400E-001	  3.19899E-001
  6.65600E-001	  2.92563E-001
  7.16800E-001	  2.67815E-001
  7.68000E-001	  2.44309E-001
  8.19200E-001	  2.23764E-001
  9.21600E-001	  1.85675E-001
  1.02400E+000	  1.54286E-001
  1.12640E+000	  1.29159E-001
  1.22880E+000	  1.07262E-001
  1.33120E+000	  8.98645E-002
  1.43360E+000	  7.56573E-002
  1.53600E+000	  6.45184E-002
  1.63840E+000	  5.43351E-002
  1.84320E+000	  3.67736E-002
  2.04800E+000	  2.57814E-002
  2.25280E+000	  1.84281E-002
  2.45760E+000	  1.27337E-002
  2.66240E+000	  7.76448E-003
  2.86720E+000	  3.73467E-003
  3.07200E+000	  1.53790E-003
  3.22560E+000	  8.06117E-004
  3.63520E+000	  2.34456E-004
  4.04480E+000	  9.68113E-004
  4.45440E+000	  2.20279E-003
  4.86400E+000	  1.76036E-003
  5.27360E+000	 -3.17067E-004
  5.68320E+000	 -2.98475E-003
  6.09280E+000	 -5.30375E-003
  6.50240E+000	 -4.07191E-003
  7.32160E+000	 -1.47898E-003
  8.14080E+000	  1.08264E-003
  8.96000E+000	  5.09074E-004
  9.77920E+000	 -1.75989E-003
  1.05984E+001	 -4.75516E-004
  1.14176E+001	 -1.26653E-003
  1.22368E+001	 -2.01334E-003
  1.30560E+001	  4.50283E-004
  1.46944E+001	  2.45945E-003
  1.63328E+001	 -8.48680E-004
  1.79712E+001	 -1.30134E-003
  1.96096E+001	 -2.80047E-003
  2.12480E+001	 -2.28696E-004
  2.28864E+001	  3.30313E-003
  2.45248E+001	  4.19249E-003
  2.61632E+001	 -1.93600E-003
  2.94400E+001	 -1.35685E-003
  3.27168E+001	  1.42369E-005
  3.59936E+001	 -3.61253E-003
  3.92704E+001	 -1.11671E-003
  4.25472E+001	 -9.00280E-005
  4.58240E+001	 -5.53966E-004
  4.91008E+001	 -3.11858E-003
  5.23776E+001	  1.12494E-003
  5.89312E+001	  1.11639E-003
  6.54848E+001	 -4.50340E-004
  7.20384E+001	  6.83863E-004
  7.85920E+001	 -2.14219E-003
  8.51456E+001	 -2.00123E-003
