GL100108.SPC	Dateiname	Filename
Exitation (1)	Art	Type
ZnCoO169;powder;m440;s4,0/4,0;t0,5;RA;f=345z;150K	Kommentar	Comment
300.0000	Start	Start
410.0000	Ende	End
1.0000	Schrittweite	Increment
0.5000	Integrationszeit	Integration Time
440.0000	Feste Position	Position1
S/R	Signalart	Signal0
(mv)	Signaleinheit	SignalUnits0
4.0000	Spalt Anregung	slit6
4.0000	Spalt Emission	slit7
Guangqiang Lu P130 AK Wegner	Zusatzkommentar	setup path
Kein Wert	Korrekturdatei	correction0
950.0000	Hochspannung Signal	High Voltage 1
170.0000	Hochspannung Referenz	High Voltage 2
10.01.2006	Datum	date
15:50	Zeit	time
 111 	Anzahl	number of points
X-Wert	Y-Wert	Y-Norm
   300,00000	 5,51634E+04	 9,89347E-01
   301,00000	 5,57574E+04	 1,00000E+00
   302,00000	 5,57235E+04	 9,99391E-01
   303,00000	 5,53667E+04	 9,92993E-01
   304,00000	 5,43340E+04	 9,74472E-01
   305,00000	 5,38738E+04	 9,66218E-01
   306,00000	 5,21202E+04	 9,34767E-01
   307,00000	 5,06471E+04	 9,08348E-01
   308,00000	 5,02435E+04	 9,01110E-01
   309,00000	 4,80420E+04	 8,61626E-01
   310,00000	 4,84196E+04	 8,68398E-01
   311,00000	 4,68539E+04	 8,40317E-01
   312,00000	 4,65387E+04	 8,34663E-01
   313,00000	 4,56197E+04	 8,18182E-01
   314,00000	 4,61590E+04	 8,27854E-01
   315,00000	 4,46023E+04	 7,99934E-01
   316,00000	 4,41866E+04	 7,92479E-01
   317,00000	 4,39830E+04	 7,88828E-01
   318,00000	 4,33794E+04	 7,78002E-01
   319,00000	 4,38376E+04	 7,86220E-01
   320,00000	 4,17885E+04	 7,49470E-01
   321,00000	 4,16249E+04	 7,46536E-01
   322,00000	 4,15214E+04	 7,44680E-01
   323,00000	 4,13877E+04	 7,42282E-01
   324,00000	 4,24046E+04	 7,60519E-01
   325,00000	 4,04824E+04	 7,26046E-01
   326,00000	 4,14558E+04	 7,43503E-01
   327,00000	 4,18468E+04	 7,50516E-01
   328,00000	 4,00527E+04	 7,18339E-01
   329,00000	 4,14041E+04	 7,42575E-01
   330,00000	 4,10466E+04	 7,36164E-01
   331,00000	 4,13332E+04	 7,41305E-01
   332,00000	 4,17224E+04	 7,48285E-01
   333,00000	 4,18741E+04	 7,51005E-01
   334,00000	 4,14524E+04	 7,43443E-01
   335,00000	 4,20370E+04	 7,53927E-01
   336,00000	 4,13048E+04	 7,40795E-01
   337,00000	 4,07163E+04	 7,30240E-01
   338,00000	 4,23775E+04	 7,60033E-01
   339,00000	 4,18162E+04	 7,49966E-01
   340,00000	 4,24435E+04	 7,61218E-01
   341,00000	 4,22171E+04	 7,57157E-01
   342,00000	 4,25070E+04	 7,62357E-01
   343,00000	 4,27721E+04	 7,67112E-01
   344,00000	 4,30528E+04	 7,72145E-01
   345,00000	 4,36126E+04	 7,82185E-01
   346,00000	 4,41258E+04	 7,91390E-01
   347,00000	 4,37589E+04	 7,84810E-01
   348,00000	 4,36269E+04	 7,82442E-01
   349,00000	 4,47868E+04	 8,03243E-01
   350,00000	 4,50506E+04	 8,07974E-01
   351,00000	 4,54896E+04	 8,15848E-01
   352,00000	 4,57096E+04	 8,19794E-01
   353,00000	 4,59442E+04	 8,24001E-01
